Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6021,0,-1,0,72500,66000,4800,105,160,26,8.58E-23,3.42E-02,1.48E-02,8.42E-05,3.42E-02,1.69E-02,3.42E-06,0.14775,2.28E-03,7.98E-05,0.12758,2.64E-03,0,3.73E-02,1.51E-04,0,0.40314,2.09E-03,,,
6021,650,-1000,1,72500,66000,4800,105,160,26,4.24E-21,6.54E-02,2.95E-02,1.10E-04,6.54E-02,3.36E-02,1.09E-04,0.63567,1.55E-02,7.33E-04,0.63567,1.80E-02,0,6.50E-02,5.77E-04,0,2.0314,1.45E-02,,,
6021,6500,-1003,10,72500,66000,4800,105,160,26,1.93E-20,0.11179,5.14E-02,1.68E-04,0.1098,5.84E-02,5.51E-04,2.1485,8.33E-02,3.92E-03,2.1485,9.60E-02,0,0.17993,2.43E-03,0,4.8375,6.72E-02,,,
6021,6878.3,-1006,13.996,72500,66000,4800,105,160,26,1.29E-18,0.1597,7.32E-02,3.61E-04,0.15474,8.31E-02,9.78E-04,4.9286,0.23352,1.36E-02,4.9286,0.26986,0,0.62924,8.60E-03,0,10.603,0.1726,,,
6021,7257.25,-1009,17.992,72500,66000,4800,105,160,26,5.16E-18,0.44715,0.18493,6.21E-04,0.37091,0.2015,2.03E-02,36.89,3.2583,0.15693,30.045,3.7781,0,6.6205,0.26154,0,66.205,3.0072,,,
6021,7635.55,-1012,21.988,72500,66000,4800,105,160,26,5.44E-17,0.73461,0.22569,8.74E-04,0.38869,0.20946,2.46E-02,43.076,3.6516,0.16743,33.882,4.2044,0,7.1078,0.29676,0,71.078,3.3595,,,
6021,8013.85,-1015.1,25.984,72500,66000,4800,105,160,26,3.71E-18,1.1658,0.27715,8.48E-04,0.38782,0.20633,2.41E-02,42.99,3.5701,0.15705,33.568,4.0254,0,7.0246,0.27991,0,70.246,3.2221,,,
6021,8392.8,-1018.1,29.98,72500,66000,4800,105,160,26,7.65E-17,1.597,0.3241,1.17E-03,0.37051,0.19618,2.11E-02,37.68,3.1907,0.13847,29.872,3.465,0,6.4845,0.23464,0,64.845,2.7732,,,
6021,8771.1,-1021.1,33.976,72500,66000,4800,105,160,26,1.88E-19,1.6156,0.33022,1.12E-03,0.38073,0.20212,2.29E-02,40.51,3.4558,0.15028,31.789,3.7854,0,6.8481,0.26471,0,68.481,3.0255,,,
6021,9149.4,-1024.1,37.972,72500,66000,4800,105,160,26,1.58E-18,1.6342,0.33343,1.07E-03,0.38198,0.20352,2.29E-02,40.748,3.5208,0.15669,31.965,3.864,0,6.9145,0.26986,0,69.145,3.0853,,,
